label, id, name, ontology
"Chemical", "CHEMBL635", "prednisone", "UNKNOWN"
"Chemical", "CHEMBL1434", "minocycline", "UNKNOWN"
"Chemical", "CHEMBL1229", "Oseltamivir", "UNKNOWN"
"Chemical", "CHEMBL674", "GS4071", "UNKNOWN"
"Chemical", "CHEMBL5095265", "Annexin V", "UNKNOWN"
"Chemical", "CHEMBL384467", "dexamethasone", "UNKNOWN"
"Chemical", "CHEMBL58832", "asparagine", "UNKNOWN"
"Chemical", "CHEMBL14053", "trichloroacetic acid", "UNKNOWN"
"Chemical", "CHEMBL3039582", "secretin", "UNKNOWN"
"Chemical", "CHEMBL460", "molindone", "UNKNOWN"
"Chemical", "CHEMBL71", "chlorpromazine", "UNKNOWN"
"Chemical", "CHEMBL726", "fluphenazine", "UNKNOWN"
"Chemical", "CHEMBL715", "olanzapine", "UNKNOWN"
"Chemical", "CHEMBL135", "Oestradiol", "UNKNOWN"
"Chemical", "CHEMBL1200796", "cyclophosphamide", "UNKNOWN"
"Chemical", "CHEMBL159", "vinblastine", "UNKNOWN"
"Chemical", "CHEMBL1351", "carboplatin", "UNKNOWN"
"Chemical", "CHEMBL549386", "fotemustine", "UNKNOWN"
"Chemical", "CHEMBL1201001", "nitrogen mustard", "UNKNOWN"
"Chemical", "CHEMBL852", "melphalan", "UNKNOWN"
"Chemical", "CHEMBL479", "thioridazine", "UNKNOWN"
"Chemical", "CHEMBL12713", "sertindole", "UNKNOWN"
"Chemical", "CHEMBL708", "ziprasidone", "UNKNOWN"
"Chemical", "CHEMBL716", "quetiapine", "UNKNOWN"
"Chemical", "CHEMBL43068", "valine", "UNKNOWN"
"Chemical", "CHEMBL227934", "strychnine", "UNKNOWN"
"Chemical", "CHEMBL386630", "testosterone", "UNKNOWN"
"Chemical", "CHEMBL1141", "potassium iodide", "UNKNOWN"
"Chemical", "CHEMBL508102", "carbimazole", "UNKNOWN"
"Chemical", "CHEMBL481", "Irinotecan", "UNKNOWN"
"Chemical", "CHEMBL3989514", "CPT-11", "UNKNOWN"
"Chemical", "CHEMBL278020", "neostigmine", "UNKNOWN"
"Chemical", "CHEMBL225071", "Raltitrexed", "UNKNOWN"
"Chemical", "CHEMBL1543", "glutathione", "UNKNOWN"
"Chemical", "CHEMBL153", "trolox", "UNKNOWN"
"Chemical", "CHEMBL62381", "sodium butyrate", "UNKNOWN"
"Chemical", "CHEMBL15901", "benzidine", "UNKNOWN"
"Chemical", "CHEMBL1201420", "urokinase", "UNKNOWN"
"Chemical", "CHEMBL2107885", "reteplase", "UNKNOWN"
"Chemical", "CHEMBL2108499", "lanoteplase", "UNKNOWN"
"Chemical", "CHEMBL2108129", "saruplase", "UNKNOWN"
"Chemical", "CHEMBL51", "ketanserin", "UNKNOWN"
"Chemical", "CHEMBL62919", "altanserin", "UNKNOWN"
"Chemical", "CHEMBL1875086", "Kabat", "UNKNOWN"
"Chemical", "CHEMBL1790041", "ranitidine", "UNKNOWN"
"Chemical", "CHEMBL2108518", "gelatin", "UNKNOWN"
"Chemical", "CHEMBL4297747", "Endostatin", "UNKNOWN"
"Chemical", "CHEMBL2108078", "parathyroid hormone", "UNKNOWN"
"Chemical", "CHEMBL1072", "bumetanide", "UNKNOWN"
"Chemical", "CHEMBL772", "reserpine", "UNKNOWN"
"Chemical", "CHEMBL334491", "budipine", "UNKNOWN"
"Chemical", "CHEMBL660", "amantadine", "UNKNOWN"
"Chemical", "CHEMBL59", "dopamine", "UNKNOWN"
"Chemical", "CHEMBL1096979", "benserazide", "UNKNOWN"
"Chemical", "CHEMBL1528134", "benzydamine hydrochloride", "UNKNOWN"
"Chemical", "CHEMBL15594", "arachidonic acid", "UNKNOWN"
"Chemical", "CHEMBL1556", "inosine", "UNKNOWN"
"Chemical", "CHEMBL87112", "benzothiophenes", "UNKNOWN"
"Chemical", "CHEMBL83", "tamoxifen.", "UNKNOWN"
"Chemical", "CHEMBL487", "droloxifene", "UNKNOWN"
"Chemical", "CHEMBL1655", "toremifene", "UNKNOWN"
"Chemical", "CHEMBL6318", "idoxifene", "UNKNOWN"
"Chemical", "CHEMBL559147", "Y-27632", "UNKNOWN"
"Chemical", "CHEMBL17", "dichlorphenamide", "UNKNOWN"
"Chemical", "CHEMBL279786", "batimastat", "UNKNOWN"
"Chemical", "CHEMBL65", "camptothecin", "UNKNOWN"
"Chemical", "CHEMBL84", "topotecan", "UNKNOWN"
"Chemical", "CHEMBL301735", "Hoechst 33258", "UNKNOWN"
"Chemical", "CHEMBL15192", "beta-lapachone", "UNKNOWN"
"Chemical", "CHEMBL242550", "diospyrin", "UNKNOWN"
"Chemical", "CHEMBL505529", "topostatin", "UNKNOWN"
"Chemical", "CHEMBL3182320", "flavonoids", "UNKNOWN"
"Chemical", "CHEMBL454708", "neocarzinostatin", "UNKNOWN"
"Chemical", "CHEMBL1168", "ramipril", "UNKNOWN"
"Chemical", "CHEMBL14060", "phenol", "UNKNOWN"
"Chemical", "CHEMBL2108161", "tuberculin", "UNKNOWN"
"Chemical", "CHEMBL1201087", "cabergoline", "UNKNOWN"
"Chemical", "CHEMBL531", "pergolide", "UNKNOWN"
"Chemical", "CHEMBL157138", "lysuride", "UNKNOWN"
"Chemical", "CHEMBL19215", "metergoline", "UNKNOWN"
"Chemical", "CHEMBL73151", "terguride", "UNKNOWN"
"Chemical", "CHEMBL601773", "dihydroergocristine", "UNKNOWN"
"Chemical", "CHEMBL2218861", "quinagolide", "UNKNOWN"
"Chemical", "CHEMBL254500", "ergoline", "UNKNOWN"
